movieId,genres,numVotes,primaryTitle,startYear,actors,directors,averageRating
1,"adventure,animation,children,comedy,fantasy",215,toy story,1995,"Tom Hanks,Tim Allen,Don Rickles,Jim Varney,Wallace Shawn,John Ratzenberger,Annie Potts,John Morris,Erik von Detten,Laurie Metcalf",['John Lasseter'],7.841860465
2,"adventure,children,fantasy",110,jumanji,1995,"Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,Jonathan Hyde,Bradley Pierce,Bebe Neuwirth,David Alan Grier,Patricia Clarkson,Adam Hann-Byrd,Laura Bell Bundy",['Joe Johnston'],6.863636364
3,"comedy,romance",52,grumpier old men,1995,"Walter Matthau,Jack Lemmon,Ann-Margret,Sophia Loren,Burgess Meredith,Daryl Hannah,Kevin Pollak,Katie Sagona,Ann Morgan Guilbert,James Andelin",['Howard Deutch'],6.519230769
4,"comedy,drama,romance",7,waiting to exhale,1995,"Whitney Houston,Angela Bassett,Loretta Devine,Lela Rochon,Gregory Hines,Dennis Haysbert,Mykelti Williamson,Michael Beach,Leon,Wendell Pierce",['Forest Whitaker'],4.714285714
5,comedy,49,father of the bride part ii,1995,"Steve Martin,Diane Keaton,Martin Short,Kimberly Williams-Paisley,George Newbern,Kieran Culkin,BD Wong,Peter Michael Goetz,Kate McGregor-Stewart,Jane Adams",['Charles Shyer'],6.142857143
6,"action,crime,thriller",102,heat,1995,"Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,Tom Sizemore,Diane Venora,Amy Brenneman,Ashley Judd,Mykelti Williamson,Wes Studi",['Michael Mann'],7.892156863
7,"comedy,romance",54,sabrina,2018,"Luna Maya,Christian Sugiono,Sara Wijayanto,Jeremy Thomas,Rizky Hanggono,Richelle Georgette Skornicki,Asri Handayani,Demian Aditya,Sahil Shah,Imelda",['Rocky Soraya'],6.37037037
8,"adventure,children",8,tom and huck,1995,"Jonathan Taylor Thomas,Brad Renfro,Charles Rocket,Eric Schweig,Amy Wright,Michael McShane,Marian Seldes,Rachael Leigh Cook,Lanny Flaherty,Courtland Mead",['Peter Hewitt'],5.75
9,action,16,sudden death,1995,"Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry,Whittni Wright,Ross Malinger,Dorian Harewood,Kate McNeil,Michael Gaston,Audra Lindley,Brian Delate",['Peter Hyams'],6.25
10,"action,adventure,thriller",132,goldeneye,1995,"Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker,Judi Dench,Robbie Coltrane,Tchéky Karyo,Gottfried John,Alan Cumming",['Martin Campbell'],6.992424242
11,"comedy,horror",19,dracula: dead and loving it,1995,"Leslie Nielsen,Mel Brooks,Peter MacNicol,Steven Weber,Amy Yasbeck,Lysette Anthony,Harvey Korman,Mark Blankfield,Megan Cavanagh,Clive Revill",['Mel Brooks'],4.842105263
12,"adventure,animation,children",8,balto,1995,"Kevin Bacon,Bob Hoskins,Bridget Fonda,Jim Cummings,Phil Collins,Phil Collins,Jack Angel,Danny Mann,Robbie Rist,Juliette Brewer,Sandra Dickinson,Sandra Dickinson,Sandra Dickinson",['Simon Wells'],6.25
13,drama,18,nixon,1995,"Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,Bob Hoskins,E.G. Marshall,David Paymer,David Hyde Pierce,Paul Sorvino,Mary Steenburgen",['Oliver Stone'],7.666666667
14,"action,adventure,romance",13,cutthroat island,1995,"Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,Patrick Malahide,Stan Shaw,Rex Linn,Paul Dillon,Christopher Masterson,Jimmie F. Skaggs",['Renny Harlin'],6
15,"crime,drama",82,casino,2023,"Nirab Hossain,Shabnam Bubly,Taskeen Rahman,Taskeen Rahman,Jahangir Alom,Dilruba Hossain Doyel,Shaheen Mridha,Nipa Ahmed Really,Sohidul Islam Sajid",['Saikat Nasir'],7.853658537
16,"drama,romance",67,sense and sensibility,1995,"Emma Thompson,Kate Winslet,James Fleet,Tom Wilkinson,Harriet Walter,Gemma Jones,Hugh Grant,Myriam Emilie Francois,Elizabeth Spriggs,Robert Hardy",['Ang Lee'],7.552238806
17,comedy,20,four rooms,1995,"Tim Roth,Antonio Banderas,Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,Ione Skye,Lili Taylor,Alicia Witt,Jennifer Beals","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']",7.4
18,comedy,88,ace ventura: when nature calls,1995,"Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny Daniels,Sam Phillips",['Steve Oedekerk'],5.454545455
19,"action,comedy,crime,drama,thriller",15,money train,1995,"Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Vincent Laresca,Nelson Vasquez",['Joseph Ruben'],5
20,"comedy,crime,thriller",89,get shorty,1995,"Gene Hackman,Rene Russo,Danny DeVito,John Travolta,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer",['Barry Sonnenfeld'],6.988764045
21,"crime,drama,horror,mystery,thriller",36,copycat,2016,"CJ Wostal,Kevin Machate,Josh Pack,Eddi S. Pamar,Kari J. Kramer,Liz Ames,Joe Grisaffi,Will Woo,George Cisneros,Evan King","['Kevin Cook', 'Todd Rodgers']",6.444444444
22,"action,crime,thriller",16,assassins,2020,,['Ryan White'],6.25
23,"drama,sci-fi",28,powder,2022,"Nikhil Murugan,Vidya Pradeep,Motta Rajendran",['Vijay Sri G.'],6.25
24,"drama,romance",76,leaving las vegas,1995,"Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Regen,Valeria Golino,Graham Beckel",['Mike Figgis'],7.25
25,drama,13,othello,2020,"Michael Blake,Juan Chioran,Laura Condlln,Shruti Kothari,Daniel Krmpotic,Gordon S. Miller,Amelia Sargisson,Johnathan Sousa",['Barry Avrich'],7
26,"children,drama",9,now and then,1995,"Christina Ricci,Demi Moore,Rosie O'Donnell,Thora Birch,Melanie Griffith,Gaby Hoffmann,Ashleigh Aston Moore,Rita Wilson,Devon Sawa,Walter Sparrow",['Lesli Linka Glatter'],6.666666667
27,"drama,romance",11,persuasion,2023,"Skylar Pierce,Dan Brown,Anna Flynn,Melody Brason,Aileen Corpos,Sarah Hunt,Riley Cummings,Cristian Olvera,Roland Hernandez,William Grady",['Allison Calloway'],8.454545455
28,drama,38,dangerous minds,1995,"Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,Beatrice Winde,John Neville,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris",['John N. Smith'],6.368421053
29,"children,drama",128,babe,1995,"James Cromwell,Magda Szubanski,Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,Russi Taylor,Evelyn Krape,Michael Edward-Stevens",['Chris Noonan'],7.3046875
30,"crime,drama",67,dead man walking,2006,,['Petar Oreskovic'],7.671641791
31,"children,comedy",4,it takes two,1995,"Kirstie Alley,Steve Guttenberg,Mary-Kate Olsen,Mary-Kate Olsen,Ashley Olsen,Ashley Olsen,Philip Bosco,Jane Sibbett,Michelle Grisom,Desmond Robertson,Tiny Mills,Shanelle Henry",['Andy Tennant'],4.25
32,"comedy,romance",104,clueless,1995,"Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Elisa Donovan,Breckin Meyer,Jeremy Sisto,Dan Hedaya,Aida Linares",['Amy Heckerling'],6.586538462
33,drama,2,"cry, the beloved country",1995,"Richard Harris,James Earl Jones,Vusi Kunene,Charles S. Dutton,Tsholofelo Wechoemang,Dolly Rathebe,Ramolao Makhene,Jack Robinson,Jennifer Steyn,Patrick Ndlovu",['Darrell Roodt'],8.5
34,"drama,war",15,richard iii,2016,"David Annen,David Annen,David Annen,Joseph Arkley,Osman Baig,Tom Canton,Tom Canton,Daniel Cerqueira,Simon Coates,Josh Collins,Joshua Collins,Susan Engel,Ralph Fiennes",['Rupert Goold'],7.4
35,"action,crime,drama",7,dead presidents,1995,"Larenz Tate,Keith David,Chris Tucker,Freddy Rodríguez,Rose Jackson,N'Bushe Wright,Alvaleta Guess,James Pickens Jr.,Jenifer Lewis,Clifton Powell","['Albert Hughes', 'Allen Hughes']",6
36,drama,8,restoration,2016,"Craig McLachlan,Grant Cartwright,Stephen Carracher,Nadia Townsend,Rosie Lourde,Ailís Logan,Elizabeth Nabben,Harrison Ring,Jessinda Willis,Michelle Cookson",['Stuart Willis'],6.375
37,"action,adventure,fantasy",46,mortal kombat,2021,"Lewis Tan,Jessica McNamee,Josh Lawson,Joe Taslim,Joe Taslim,Mehcad Brooks,Matilda Kimber,Laura Brent,Tadanobu Asano,Hiroyuki Sanada,Hiroyuki Sanada,Chin Han",['Simon McQuoid'],5.086956522
38,"comedy,drama,thriller",32,to die for,2018,"Burak Özçivit,Kerem Bürsin,Melike Ipek Yalova,Süleyman Karaahmet,Sabahattin Yakut,Onur Ayçelik,Özbek Kaplan,Can Baykan,Ahmet Olgun Sünear,Can Bozoglu",['Çagatay Tosun'],6.625
39,"drama,romance",15,how to make an american quilt,1995,"Winona Ryder,Ellen Burstyn,Anne Bancroft,Kaelynn Craddick,Sara Craddick,Kate Capshaw,Adam Baldwin,Dermot Mulroney,Maya Angelou,Alfre Woodard",['Jocelyn Moorhouse'],6.133333333
40,"animation,children,drama,musical,romance",68,pocahontas,1995,"Mel Gibson,Linda Hunt,Christian Bale,Joe Baker,Irene Bedard,Billy Connolly,James Apaumut Fall,John Kassir,Judy Kuhn,Danny Mann","['Mike Gabriel', 'Eric Goldberg']",6.294117647
41,"drama,romance",1,when night is falling,1995,"Pascale Bussières,Rachael Crawford,Henry Czerny,David Fox,Don McKellar,Tracy Wright,Clare Coulter,Karyne Steben,Sarah Steben,Jonathan Potts",['Patricia Rozema'],6
42,"comedy,drama,romance",28,mighty aphrodite,1995,"Woody Allen,Mira Sorvino,Pamela Blair,Rene Ceballos,Elie Chaib,George De La Pena,Joanne DiMauro,Denise Faye,Marian Filali,Angelo Fraboni",['Woody Allen'],6.928571429
43,"adventure,drama",2,lamerica,1994,"Enrico Lo Verso,Michele Placido,Piro Milkani,Carmelo Di Mazzarelli,Elida Janushi,Sefer Pema,Idajet Sejdia,Marieta Ljarja,Elina Ndreu,Ilir Ara",['Gianni Amelio'],10
44,drama,1,georgia,1995,"Jennifer Jason Leigh,Mare Winningham,Ted Levine,Max Perlich,John Doe,John C. Reilly,Jimmy Witherspoon,Jason Carter,Tom Bower,Smokey Hormel",['Ulu Grosbard'],8
45,drama,8,home for the holidays,1995,"Holly Hunter,Anne Bancroft,Robert Downey Jr.,Charles Durning,Dylan McDermott,Geraldine Chaplin,Steve Guttenberg,Cynthia Stevenson,Claire Danes,Emily Ann Lloyd",['Jodie Foster'],6.125
46,"drama,thriller",6,eye for an eye,2022,"Miao Xie,Weiman Gao,Hao Xiang,Ben Liu,Di Zhang,Haosen Zhang,Yi Gao,Xuan Kang,Junjie Hou,Jian Yin",['Bingjia Yang'],7.5
47,drama,80,mr. holland's opus,1995,"Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Terrence Howard,Damon Whitaker,Jean Louisa Kelly,Alexandra Boyd",['Stephen Herek'],7.4125
48,"comedy,crime",7,don't be a menace to south central while drinking your juice in the hood,1996,"Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans,Tracey Cherelle Jones,Chris Spencer,Suli McCullough,Darrel Heath,Helen Martin,Isaiah Barnes,Lahmard J. Tate",['Paris Barclay'],5.428571429
49,comedy,31,bio-dome,1996,"Pauly Shore,Stephen Baldwin,William Atherton,Denise Dowse,Dara Tomanovich,Kevin West,Kylie Minogue,Joey Lauren Adams,Teresa Hill,Patricia Hearst",['Jason Bloom'],5.064516129
50,"action,sci-fi,thriller",9,lawnmower man 2: beyond cyberspace,1995,"Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget,Camille Cooper,Patrick LaBrecque,Crystal Celeste Grant,Sean P. Young,Mathew Valencia,Kevin Conway",['Farhad Mann'],5
51,comedy,20,friday,2023,"Tama Mirza,Nasir Uddin Khan,Farzana Chobi,Mohammad Bari,Nilanjana Nil,Monir Ahmed Shakeel,Mayeha Ahmed Aditi,Shahriar Nazim Joy,Ety Akter,Pujanjoly Chowdhury","['Asiqujjaman Anik', 'Sonjib Bappa', 'Md. Din Islam Samrat', 'Raihan Rafi']",7.55
52,"action,comedy,horror,thriller",55,from dusk till dawn,1996,"Harvey Keitel,George Clooney,Juliette Lewis,Quentin Tarantino,Ernest Liu,Salma Hayek,Cheech Marin,Cheech Marin,Cheech Marin,Danny Trejo,Tom Savini,Fred Williamson",['Robert Rodriguez'],7.018181818
53,action,5,fair game,2017,Héritier Lumumba,['Jeff Daniels'],3.4
54,"comedy,drama",7,kicking and screaming,1995,"Josh Hamilton,Eric Stoltz,Samuel Gould,Catherine Kellner,Jonathan Baumbach,John Lehr,Olivia d'Abo,Peter Czernin,Carlos Jacott,Chris Eigeman",['Noah Baumbach'],6.428571429
